Nozare,Objekta nosaukums,ISIL kods,Adrese,LAT,LON,LKS-92 X,LKS-92 Y
Makslinieciskie kolektivi,"Krustpils pagasta kulturas nama jauktais ansamblis ""Krustpiliesi""",LV-KOLEKTIVS-011243,"Daugaviesi, Spungeni, Krustpils pag., Krustpils nov., LV-5204",56.53907,25.81628,267558,611688
Kulturas centri,Krustpils pagasta kulturas nams,LV-NAMS-001617,"Daugaviesi, Spungeni, Krustpils pag., Krustpils nov., LV-5204",56.53907,25.81628,267558,611688
Bibliotekas,Krustpils pamatskolas biblioteka,LV-BIB-012696,"Madonas iela 48, Jekabpils, LV-5202",56.52228,25.86743,265773,614884
Kulturvesturiskas vietas,Krustpils pilsetas parks un Otra pasaules kara memorials,LV-VIE-001092,"Daugavas iela 2, Jekabpils, LV-5202",56.50448,25.86319,263786,614677
Pasakumu norisu vietas,Krustpils salina,LV-VIETA-010892,"Rigas iela, Jekabpils",56.50719,25.86053,264083,614505
Makslinieciskie kolektivi,"Krustpils sporta deju klubs ""Alianse""",LV-KOLEKTIVS-015111,"Rigas iela 212, Jekabpils, LV-5202",56.50688,25.86438,264055,614743
Kulturvesturiskas vietas,Krustpils Sv.Nikolaja pareizticigo baznica,LV-VIE-001097,"Zilanu iela 57, Jekabpils, LV-5202",56.50399,25.88879,263774,616254
EU2015.lv,"Krustpils viduslaiku pils un muiža ",LV-EU2015-000055,"Rigas iela 216B, Jekabpils, LV-5202",56.51115,25.85913,264521,614407
Kulturvesturiskas vietas,Krustpils Vissvetas Trisvienibas Romas katolu baznica,LV-VIE-001096,"Kalna iela 33, Jekabpils, LV-5202",56.50613,25.87201,263984,615215
Makslinieki,Ksenija Simanova,LV-MAKSLA-000163,Riga,,,,
Kulturvesturiskas vietas,Kubalu skola,LV-VIE-001022,"Kubalu skola, Saustere, Dundagas pag., Dundagas nov., LV-3270",57.46251,22.39829,370004,403915
Muzeji,Kubalu skola - muzejs,LV-MUZ-001413,"Kubalu skola, Saustere, Dundagas pag., Dundagas nov., LV-3270",57.46251,22.39829,370004,403915
Makslinieciskie kolektivi,"Kubulu pagasta 2.-5.klasu tautas deju kolektivs ""Cielavina""",LV-KOLEKTIVS-015731,"Balvu iela 15, Kubuli, Kubulu pag., Balvu nov., LV-4566",57.15794,27.20421,339522,693782
Makslinieciskie kolektivi,"Kubulu pagasta 4.-8.klasu tautas deju kolektivs ""Cielavina""",LV-KOLEKTIVS-015732,"Balvu iela 15, Kubuli, Kubulu pag., Balvu nov., LV-4566",57.15794,27.20421,339522,693782
Bibliotekas,Kubulu pagasta biblioteka,LV-BIB-000159,"Balvu iela 15, Kubuli, Kubulu pag., Balvu nov., LV-4566",57.15794,27.20421,339522,693782
Makslinieciskie kolektivi,"Kubulu pagasta garigo dziesmu ansamblis ""Vakarblazma""",LV-KOLEKTIVS-012863,"Balvu iela 15, Kubuli, Kubulu pag., Balvu nov., LV-4566",57.15794,27.20421,339522,693782
Makslinieciskie kolektivi,"Kubulu pagasta jauniesu deju kolektivs ""Cielavina""",LV-KOLEKTIVS-009797,"Balvu iela 15, Kubuli, Kubulu pag., Balvu nov., LV-4566",57.15794,27.20421,339522,693782
Makslinieciskie kolektivi,Kubulu pagasta kulturas nama jauktais vokalais ansamblis,LV-KOLEKTIVS-012856,"Balvu iela 15, Kubuli, Kubulu pag., Balvu nov., LV-4566",57.15794,27.20421,339522,693782
Makslinieciskie kolektivi,Kubulu pagasta kulturas nama sarikojumu vaditaju pulcins,LV-KOLEKTIVS-012859,"Balvu iela 15, Kubuli, Kubulu pag., Balvu nov., LV-4566",57.15794,27.20421,339522,693782
Makslinieciskie kolektivi,"Kubulu pagasta kulturas nama senioru deju kopa ""Rutas""",LV-KOLEKTIVS-012858,"Balvu iela 15, Kubuli, Kubulu pag., Balvu nov., LV-4566",57.15794,27.20421,339522,693782
Makslinieciskie kolektivi,"Kubulu pagasta kulturas nama tautisko deju kopa ""Kubulins""",LV-KOLEKTIVS-016375,"Balvu iela 15, Kubuli, Kubulu pag., Balvu nov., LV-4566",57.15794,27.20421,339522,693782
Kulturas centri,Kubulu pagasta kulturas nams,LV-NAMS-001492,"Balvu iela 15, Kubuli, Kubulu pag., Balvu nov., LV-4566",57.15794,27.20421,339522,693782
Makslinieciskie kolektivi,"Kubulu pagasta pirmsskolas bernu tautas deju kolektivs ""Cielavina""",LV-KOLEKTIVS-015730,"Balvu iela 15, Kubuli, Kubulu pag., Balvu nov., LV-4566",57.15794,27.20421,339522,693782
Kulturvesturiskas vietas,Kukoja piemineklis,LV-VIE-001012,"Atbrivosanas aleja 102, Rezekne, LV-4601",56.50765,27.33201,267557,705033
Bibliotekas,Kuku biblioteka,LV-BIB-000367,"Kukas Nr. 36, Kukas, Kuku pag., Krustpils nov., LV-5222",56.54396,26.09257,268585,628659
Makslinieciskie kolektivi,"Kuku pagasta sieviesu vokalais ansamblis ""Minima""",LV-KOLEKTIVS-010119,"Laukezera iela 4, Zilani, Kuku pag., Krustpils nov., LV-5222",56.51396,25.94283,264976,619548
Makslinieciskie kolektivi,"Kuku pagasta teatra draugu kopa ""Patapa""",LV-KOLEKTIVS-017046,"Laukezera iela 4, Zilani, Kuku pag., Krustpils nov., LV-5222",56.51396,25.94283,264976,619548
Makslinieciskie kolektivi,"Kuku pagasta videjas paaudzes tautas deju kolektivs ""Zilanietis""",LV-KOLEKTIVS-010118,"Laukezera iela 4, Zilani, Kuku pag., Krustpils nov., LV-5222",56.51396,25.94283,264976,619548
Bibliotekas,Kuldigas 2. vidusskolas biblioteka,LV-BIB-012771,"Jelgavas iela 62, Kuldiga, Kuldigas nov., LV-3301",56.9628,21.98368,315054,377401
Bibliotekas,Kuldigas Centra vidusskolas biblioteka,LV-BIB-012769,"Mucenieku iela 6, Kuldiga, Kuldigas nov., LV-3301",56.96635,21.96525,315483,376292
Nevalstiskas organizacijas,"Kuldigas dejotaju biedriba ",LV-NVO-013174,"Petera iela 10, Kuldiga, Kuldigas nov., LV-3301",56.97021,21.96607,315911,376355
Makslinieciskie kolektivi,"Kuldigas folkloras kopa ""Kurava""",LV-KOLEKTIVS-016047,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Bibliotekas,Kuldigas Galvena biblioteka,LV-BIB-000416,"1905. gada iela 6, Kuldiga, Kuldigas nov., LV-3301",56.96932,21.96844,315807,376496
Kulturvesturiskas vietas,"Kuldigas iela, Ventspils",LV-VIE-000456,"Kuldigas iela 2, Ventspils, LV-3601",57.39552,21.57112,364022,354038
Kulturvesturiskas vietas,Kuldigas jaunais ratsnams,LV-VIE-001298,"Baznicas iela 1, Kuldiga, Kuldigas nov., LV-3301",56.96736,21.97049,315585,376614
Makslinieciskie kolektivi,"Kuldigas jauniesu teatris ""Focus""",LV-KOLEKTIVS-010248,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas kamerkoris ""Rate""",LV-KOLEKTIVS-010250,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Nevalstiskas organizacijas,"Kuldigas kulturas biedriba ""Livija""",LV-NVO-013173,"Mucenieku iela 19, Kuldiga, Kuldigas nov., LV-3301",56.96739,21.96359,315601,376195
Makslinieciskie kolektivi,Kuldigas kulturas centra amatierteatris,LV-KOLEKTIVS-014837,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,Kuldigas kulturas centra ausanas kursi,LV-KOLEKTIVS-014840,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas kulturas centra bernu deju kolektivs ""Starins"" - 2.-4.klasu grupa",LV-KOLEKTIVS-014832,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas kulturas centra bernu deju kolektivs ""Starins"" - 4-5-gadigo grupa",LV-KOLEKTIVS-014830,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas kulturas centra bernu deju kolektivs ""Starins"" - 5.-6.klasu grupa",LV-KOLEKTIVS-014833,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas kulturas centra bernu deju kolektivs ""Starins"" - 6-7-gadigo grupa",LV-KOLEKTIVS-014831,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas kulturas centra bernu deju kolektivs ""Starins"" - 7.-8.klasu grupa",LV-KOLEKTIVS-014834,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas kulturas centra bernu koris ""Cantus""",LV-KOLEKTIVS-016904,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas kulturas centra bernu teatris ""Focus""",LV-KOLEKTIVS-014836,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas kulturas centra deju kolektivs ""Kuldigas seniori""",LV-KOLEKTIVS-010252,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas kulturas centra folkloras kopa ""Narbuli""",LV-KOLEKTIVS-014838,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas kulturas centra jauktais koris ""Ventava""",LV-KOLEKTIVS-011690,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas kulturas centra jauniesu koris ""Lai top !""",LV-KOLEKTIVS-014828,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas kulturas centra jauniesu teatra ""Focus"" studija",LV-KOLEKTIVS-014835,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,Kuldigas kulturas centra kludzinu pisanas kursi,LV-KOLEKTIVS-014841,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas kulturas centra tautas deju ansamblis ""Venta""",LV-KOLEKTIVS-010245,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas kulturas centra tautas telotajas makslas studija ""Kuldigas palete"" (gleznosana)",LV-KOLEKTIVS-014842,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas kulturas centra videjas paaudzes deju kopa ""Bandava""",LV-KOLEKTIVS-010251,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Kulturas centri,Kuldigas kulturas centrs,LV-NAMS-001654,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas Kustibu teatris ""Purple Line""",LV-KOLEKTIVS-016153,"Talanti, Kurmales pag., Kuldigas nov., LV-3301",56.94149,21.92642,312787,373848
Makslas saloni un galerijas,Kuldigas Makslas nams,LV-GALERIJA-012430,"1905. gada iela 6, Kuldiga, Kuldigas nov., LV-3301",56.96932,21.96844,315807,376496
