Nozare,Objekta nosaukums,ISIL kods,Adrese,LAT,LON,LKS-92 X,LKS-92 Y
Arhitekturas gada balva," Kinoteatris ""Splendid Palace""",LV-ARHITEKT-000043,"Elizabetes iela 61, Riga, LV-1050",56.95358,24.11923,312226,507252
Arhitekturas gada bNVO-013009,"Laumas, ives pag., Talsu nov., LV-3261",57.37063,22.53026,359599,411610
Muzeji,"""Liepaja okupaciju režimos""",LV-MUZ-012338,"Klava Ukstina iela 7/9, Liepaja, LV-3401",56.50248,21.01074,266011,316025
Muzeji,"""Minhauzena muiža""- muzejs",LV-MUZ-012304,"Duntes muiža, Liepupes pag., Salacgrivas nov., LV-4023",57.40483,24.42537,362531,525559
Nevalstiskas organizacijas,"""Nodibinajums Maras loks""",LV-NVO-009448,"adminu iela 4A-2, Riga, LV-1009",56.949,24.14032,311718,508536
Kulturvesturiskas vietas,"""Ringu"" Bralu saiesanas nams",LV-VIE-000766,"Ringi, Blomes pag., Smiltenes nov., LV-4707",57.43334,25.75498,366985,605362
EU2015.lv,"""Swedbank"" centrala eka Ķipsala",LV-EU2015-000107,"Balasta dambis 15, alva," Saldus muzikas un makslas skola",LV-ARHITEKT-000060,"Avotu iela 12A, Saldus, Saldus nov., LV-3801",56.66657,22.48856,281293,407368
Bibliotekas," Stamerienas pagasta biblioteka",LV-BIB-000317,"Vecstameriena, Vecstameriena, Stamerienas pag., Gulbenes nov., LV-4406",57.21452,26.88812,344962,674406
Radosas industrijas,"""Hopp"" SIA ""Dizz""",LV-RADIND-000190,"Slokas iela 52, Riga, LV-1007",56.95386,24.06325,312252,503847
Nevalstiskas organizacijas,"""Laumu dabas parka"" fonds",LV-Riga, LV-1048",56.94887,24.08939,311699,505438
Bibliotekas,"""Tresais teva dels""",LV-BIB-013719,"Terbatas iela 53-2, Riga, LV-1011",56.9567,24.1271,312574,507730
Amatu prasmes,"""Valmiermuižas alus"" daritava",LV-PRS-000525,"Dzirnavu iela 2, Valmiermuiža, Valmieras pag., Burtnieku nov., LV-4219",57.5552,25.43119,380093,585639
Kulturvesturiskas vietas,"19.linija nr.3, Jurmala",LV-VIE-000244,"19. linija 3, Jurmala, LV-2010",56.99059,23.87988,316345,492701
Kulturvesturiskas vietas,"19.linija nr.4, Jurmala",LV-VIE-000245,"19. linija 4, Jurmala, LV-2010",56.99008,23.87832,316289,492606
Kulturvesturiskas vietas,"19.linija. nr.1, Jurmala",LV-VIE-000246,"19. linija 1, Jurmala, LV-2010",56.99094,23.87956,316384,492682
Muzeji,1991. gada barikažu muzejs,LV-MUZ-001464,"Kramu iela 3, Riga, LV-1050",56.94861,24.10595,311671,506445
Nevalstiskas organizacijas,1991.gada barikažu dalibnieku biedriba,LV-NVO-012881,"Kramu iela 3, Riga, LV-1050",56.94861,24.10595,311671,506445
Makslinieciskie kolektivi,29. Ziemeru mazpulks,LV-KOLEKTIVS-014668,"Liksmes, Marinkalns, Ziemera pag., Aluksnes nov., LV-4332",57.48795,26.97798,375617,678498
Arhitekturas gada balva,"8 melnie/ Kurzemes seta ",LV-ARHITEKT-000048,Kuldigas nov.,,,,
Bibliotekas,A. Spaga Dunalkas pamatskolas biblioteka,LV-BIB-012813,"Dunalkas skola, Dunalkas pag., Durbes nov., LV-3452",56.70165,21.31822,287389,335810
Kulturvesturiskas vietas,"A.Lerha-Puskaisa iela 3 un 5, Talsi",LV-VIE-000778,"Ansa Lerha-Puskaisa iela 3, Talsi, Talsu nov., LV-3201",57.24614,22.5833,345675,414511
Radosas industrijas,"A.Milleres individualais uznemums ""Atloce""",LV-RADIND-000329,"Ventspils iela 10, Sabile, Talsu nov., LV-3294",57.04725,22.57158,323553,413340
Radosas industrijas,"A.Reinholda individualais uznemums ""FOTO PLUS""",LV-RADIND-000058,"Liela iela 23, Talsi, Talsu nov., LV-3201",57.24404,22.59259,345429,415067
Arhitekturas gada balva,"A/S ""Diena"" biroju un redakciju telpu rekonstrukcija",LV-ARHITEKT-000021,"Mukusalas iela, Riga",,,,
Arhitekturas gada balva,A/S UPB birojs Riga,LV-ARHITEKT-000044,"Maskavas iela 250, Riga, LV-1063",56.91889,24.17211,308371,510478
Nevalstiskas organizacijas,AB.LV fonds,LV-NVO-012882,"Krisjana Barona iela 28, Riga, LV-1011",56.95201,24.12319,312051,507493
Makslinieciskie kolektivi,abelu pagasta dramas kolektivs,LV-KOLEKTIVS-012341,"Aldaunes iela 13, Brodi, abelu pag., Jekabpils nov., LV-5212",56.46995,25.87848,259969,615723
Makslinieciskie kolektivi,"abelu pagasta rokdarbniecu pulcins ""Bitites""",LV-KOLEKTIVS-012542,"Aldaunes iela 13, Brodi, abelu pag., Jekabpils nov., LV-5212",56.46995,25.87848,259969,615723
Makslinieciskie kolektivi,"abelu pagasta tautas nama Eiropas deju kopa ""abelietes""",LV-KOLEKTIVS-017159,"Aldaunes iela 13, Brodi, abelu pag., Jekabpils nov., LV-5212",56.46995,25.87848,259969,615723
Makslinieciskie kolektivi,"abelu pagasta tautas nama sieviesu ansamblis ""Elegija""",LV-KOLEKTIVS-012342,"Aldaunes iela 13, Brodi, abelu pag., Jekabpils nov., LV-5212",56.46995,25.87848,259969,615723
Kulturas centri,abelu pagasta tautas nams,LV-NAMS-001611,"Aldaunes iela 13, Brodi, abelu pag., Jekabpils nov., LV-5212",56.46995,25.87848,259969,615723
Makslinieciskie kolektivi,"abelu pagasta videjas paaudzes deju kolektivs ""Kaupre""",LV-KOLEKTIVS-017160,"Aldaunes iela 13, Brodi, abelu pag., Jekabpils nov., LV-5212",56.46995,25.87848,259969,615723
Bibliotekas,abelu pamatskolas biblioteka,LV-BIB-012697,"Lasi 1, Lasi, abelu pag., Jekabpils nov., LV-5212",56.4644,25.93384,259446,619150
Arhitekturas gada balva,"ABLV Bank Hipoteku kreditu apkalposanas nodala ",LV-ARHITEKT-000074,"Elizabetes iela 21A, Riga, LV-1010",56.95855,24.10696,312778,506505
Nevalstiskas organizacijas,Abulas lauku partneriba,LV-NVO-013116,"Cesu iela 9, Blome, Blomes pag., Smiltenes nov., LV-4707",57.43714,25.7798,367446,606841
EU2015.lv,Academia Petrina Jelgava,LV-EU2015-000053,"Akademijas iela 10, Jelgava, LV-3001",56.64984,23.72884,278443,483373
Kulturvesturiskas vietas,Adamovas dabas taka,LV-VIE-000220,"Augusta iela 1, Kraslava, Kraslavas nov., LV-5601",55.89462,27.1272,198773,695531
Kulturvesturiskas vietas,Adamovas pilskalns,LV-VIE-000893,"Augusta iela 1, Kraslava, Kraslavas nov., LV-5601",55.89462,27.1272,198773,695531
Bibliotekas,Adamovas specialas internatpamatskolas  biblioteka,LV-BIB-013007,"Adamovas internatskola, Adamova, Veremu pag., Rezeknes nov., LV-4647",56.56203,27.37013,273721,707080
Kulturvesturiskas vietas,adamsona (Krustpils) salina,LV-VIE-001093,"Krustpils salina, Jekabpils, LV-5202",56.50803,25.85834,264172,614368
Amatu prasmes,"adas izstradajumu darbnica ""Apkalnmajas""",LV-PRS-000059,"Apkalnmajas, Adamova, Veremu pag., Rezeknes nov., LV-4647",56.55245,27.35693,272615,706322
Makslinieciskie kolektivi,adažu bernu popgrupa RAKARI,LV-KOLEKTIVS-016498,"Gaujas iela 33A, adaži, adažu nov., LV-2164",57.08024,24.33195,326367,520122
Bibliotekas,adažu biblioteka,LV-BIB-000692,"Gaujas iela 27B, adaži, adažu nov., LV-2164",57.08089,24.32737,326438,519844
Bibliotekas,adažu Brivas Valdorfa skolas biblioteka,LV-BIB-013110,"Attekas iela 35, adaži, adažu nov., LV-2164",57.0733,24.3244,325592,519668
Makslinieciskie kolektivi,adažu Kulturas centra amatierteatris KONTAKTS,LV-KOLEKTIVS-012934,"Gaujas iela 33A, adaži, adažu nov., LV-2164",57.08024,24.33195,326367,520122
Makslinieciskie kolektivi,adažu Kulturas centra jauktais koris JUMIS,LV-KOLEKTIVS-011384,"Gaujas iela 33A, adaži, adažu nov., LV-2164",57.08024,24.33195,326367,520122
Makslinieciskie kolektivi,adažu Kulturas centra jauktais koris SAKNES,LV-KOLEKTIVS-017294,"Attekas iela 35, adaži, adažu nov., LV-2164",57.07649,24.32715,325948,519833
Makslinieciskie kolektivi,adažu Kulturas centra jauktais vokalais ansamblis MeS TIKaMIES MARTa,LV-KOLEKTIVS-012158,"Gaujas iela 33A, adaži, adažu nov., LV-2164",57.08024,24.33195,326367,520122
Makslinieciskie kolektivi,adažu Kulturas centra jauniesu koris MUNDUS,LV-KOLEKTIVS-013073,"Gaujas iela 33A, adaži, adažu nov., LV-2164",57.08024,24.33195,326367,520122
Makslinieciskie kolektivi,adažu Kulturas centra senioru deju kolektivs SPRIGULIS,LV-KOLEKTIVS-017157,"Gaujas iela 33A, adaži, adažu nov., LV-2164",57.08024,24.33195,326367,520122
Makslinieciskie kolektivi,adažu Kulturas centra senioru linijdeju grupa VARAViKSNE,LV-KOLEKTIVS-012272,"Gaujas iela 33A, adaži, adažu nov., LV-2164",57.08024,24.33195,326367,520122
Makslinieciskie kolektivi,adažu Kulturas centra senioru vokalais ansamblis GAUJMALAS LAKSTiGALAS,LV-KOLEKTIVS-012159,"Gaujas iela 33A, adaži, adažu nov., LV-2164",57.08024,24.33195,326367,520122
Makslinieciskie kolektivi,adažu Kulturas centra tautas deju ansamblis SPRIGULiTIS,LV-KOLEKTIVS-016661,"Gaujas iela 33A, adaži, adažu nov., LV-2164",57.08024,24.33195,326367,520122
Makslinieciskie kolektivi,adažu Kulturas centra tradiciju kopa aBOLS,LV-KOLEKTIVS-012157,"Gaujas iela 33A, adaži, adažu nov., LV-2164",57.08024,24.33195,326367,520122
Makslinieciskie kolektivi,"adažu Kulturas centra videjas paaudzes deju kolektivs SaNSOLiTIS ",LV-KOLEKTIVS-011454,"Gaujas iela 33A, adaži, adažu nov., LV-2164",57.08024,24.33195,326367,520122
Makslinieciskie kolektivi,adažu Kulturas centra videjas paaudzes deju kolektivs SPRIGULIS,LV-KOLEKTIVS-013004,"Gaujas iela 33A, adaži, adažu nov., LV-2164",57.08024,24.33195,326367,520122
Makslinieciskie kolektivi,adažu Kulturas centra viru vokalais ansamblis,LV-KOLEKTIVS-016209,"Gaujas iela 33A, adaži, adažu nov., LV-2164",57.08024,24.33195,326367,520122
Kulturas centri,adažu Kulturas centrs,LV-NAMS-001856,"Gaujas iela 33A, adaži, adažu nov., LV-2164",57.08024,24.33195,326367,520122
Kulturizglitibas iestades,adažu Makslas un muzikas skola,LV-IZGLITIBA-009582,"Gaujas iela 33A, adaži, adažu nov., LV-2164",57.08065,24.33192,326413,520120
Makslinieciskie kolektivi,adažu novada senioru tautas deju kolektivs DeKA,LV-KOLEKTIVS-016685,"Gaujas iela 33A, adaži, adažu nov., LV-2164",57.08024,24.33195,326367,520122
Bibliotekas,adažu vidusskolas biblioteka,LV-BIB-013090,"Gaujas iela 30, adaži, adažu nov., LV-2164",57.07873,24.33951,326201,520581
Muzeji,adolfa Alunana memorialais muzejs,LV-MUZ-001366,"Filozofu iela 3, Jelgava, LV-3001",56.64427,23.71035,277827,482237
Bibliotekas,agenskalna sakumskolas biblioteka,LV-BIB-013374,"Kandavas iela 4 k-1, Riga, LV-1083",56.94948,24.05098,311764,503101
Bibliotekas,agenskalna Valsts gimnazijas biblioteka,LV-BIB-013081,"Lavizes iela 2A, Riga, LV-1002",56.94166,24.07299,310895,504441
Makslas saloni un galerijas,Agijas Sunas makslas galerija,LV-GALERIJA-009318,"Kaleju iela 9/11, Riga, LV-1050",56.94845,24.1096,311654,506667
Nevalstiskas organizacijas,Aglona Te Amo,LV-NVO-013082,"Pienenite, Pienini, Riebinu pag., Riebinu nov., LV-5326",56.36472,26.72432,250007,668282
Kulturvesturiskas vietas,Aglonas bazilika,LV-VIE-000571,"Cirisa iela 8, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.12691,27.01546,224303,687418
Nevalstiskas organizacijas,Aglonas bazilikas draudze,LV-NVO-012884,"Cirisa iela 8, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.12691,27.01546,224303,687418
Kulturizglitibas iestades,Aglonas bazilikas Kora skola,LV-IZGLITIBA-009583,"Cirisa iela 8, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.12691,27.01546,224303,687418
EU2015.lv,Aglonas katolu bazilika un klosteris,LV-EU2015-000045,"Cirisa iela 8, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.12691,27.01546,224303,687418
Makslinieciskie kolektivi,Aglonas kulturas centra dramas kolektivs,LV-KOLEKTIVS-014020,"Somersetas iela 34, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.13066,27.0069,224697,686868
Makslinieciskie kolektivi,"Aglonas kulturas centra folkloras kopa ""Olutens""",LV-KOLEKTIVS-011181,"Somersetas iela 34, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.13066,27.0069,224697,686868
Makslinieciskie kolektivi,Aglonas kulturas centra jauktais vokalais ansamblis,LV-KOLEKTIVS-014024,"Somersetas iela 34, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.13066,27.0069,224697,686868
Makslinieciskie kolektivi,Aglonas kulturas centra jauniesu popgrupa,LV-KOLEKTIVS-016085,"Somersetas iela 34, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.13066,27.0069,224697,686868
Makslinieciskie kolektivi,Aglonas kulturas centra senioru dejas,LV-KOLEKTIVS-016966,"Somersetas iela 34, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.13066,27.0069,224697,686868
Makslinieciskie kolektivi,Aglonas kulturas centra sieviesu vokalais ansamblis,LV-KOLEKTIVS-012672,"Somersetas iela 34, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.13066,27.0069,224697,686868
Kulturas centri,Aglonas kulturas centrs,LV-NAMS-001802,"Somersetas iela 34, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.13066,27.0069,224697,686868
Amatu prasmes,"Aglonas Maizes muzejs ",LV-PRS-000049,"Daugavpils iela 7, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.1332,27.00178,224965,686538
Makslinieciskie kolektivi,"Aglonas novada Aglonas bazilikas jauktais koris ""Assumpta""",LV-KOLEKTIVS-016082,"Cirisa iela 8, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.12691,27.01546,224303,687418
Nevalstiskas organizacijas,"Aglonas novada biedriba ""Neaizmirstules""",LV-NVO-013187,"Daugavpils iela 6, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.1351,26.99751,225165,686263
Bibliotekas,Aglonas novada centrala biblioteka,LV-BIB-000616,"Daugavpils iela 38, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.13087,27.00487,224714,686741
Bibliotekas,Aglonas novada Graveru pagasta biblioteka,LV-BIB-000398,"Ezeru iela 21, Graveri, Graveru pag., Aglonas nov., LV-5655",56.06062,27.13966,217273,695470
Kulturas centri,Aglonas novada Graveru tautas nams,LV-NAMS-001639,"Ezeru iela 21, Graveri, Graveru pag., Aglonas nov., LV-5655",56.06062,27.13966,217273,695470
Bibliotekas,Aglonas novada sķeltovas pagasta biblioteka,LV-BIB-000414,"Daugavpils iela 7, sķeltova, sķeltovas pag., Aglonas nov., LV-5653",56.02311,27.00851,212737,687490
Bibliotekas,Aglonas vidusskolas biblioteka,LV-BIB-012939,"Daugavpils iela 6, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.13465,26.99791,225116,686290
Makslinieciskie kolektivi,Aglonas vidusskolas jauniesu deju kolektivs,LV-KOLEKTIVS-011167,"Aglonas iela 2, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.12069,27.02255,223630,687889
Makslinieki,Agnese Jasinska,LV-MAKSLA-000137,Riga,,,,
Kulturizglitibas iestades,Agra Danilevica deju skola,LV-IZGLITIBA-012342,"Lacplesa iela 106 k-1, Riga, LV-1003",56.9428,24.13064,311027,507948
Makslinieciskie kolektivi,"Agra Danilevica deju skolas ""Dzirnas"" deju grupa ""Dzirnas""",LV-KOLEKTIVS-016639,"Brivibas gatve 224, Riga, LV-1039",56.97217,24.16421,314301,509983
Makslinieciskie kolektivi,"Agra Danilevica deju skolas ""Dzirnas"" deju grupa ""Dzirnu senci""",LV-KOLEKTIVS-016640,"Brivibas gatve 224, Riga, LV-1039",56.97217,24.16421,314301,509983
Makslinieciskie kolektivi,Ainažu pilsetas kulturas nama amatierteatris,LV-KOLEKTIVS-012085,"Valdemara iela 50, Ainaži, Salacgrivas nov., LV-4035",57.862,24.35744,413402,521209
Makslinieciskie kolektivi,"Ainažu pilsetas kulturas nama bernu tautas deju kolektivs ""Zvirgzdini""",LV-KOLEKTIVS-014012,"Valdemara iela 50, Ainaži, Salacgrivas nov., LV-4035",57.862,24.35744,413402,521209
Makslinieciskie kolektivi,"Ainažu pilsetas kulturas nama deju kolektivs ""Randins""",LV-KOLEKTIVS-012101,"Valdemara iela 50, Ainaži, Salacgrivas nov., LV-4035",57.862,24.35744,413402,521209
Makslinieciskie kolektivi,"Ainažu pilsetas kulturas nama jauktais koris ""Krasts""",LV-KOLEKTIVS-012100,"Valdemara iela 50, Ainaži, Salacgrivas nov., LV-4035",57.862,24.35744,413402,521209
Makslinieciskie kolektivi,"Ainažu pilsetas kulturas nama pirmsskolas bernu tautas deju kolektivs ""Jurmalnieks""",LV-KOLEKTIVS-014011,"Valdemara iela 50, Ainaži, Salacgrivas nov., LV-4035",57.862,24.35744,413402,521209
Makslinieciskie kolektivi,Ainažu pilsetas kulturas nama senioru deju kolektivs ''Raduraksti'',LV-KOLEKTIVS-017298,"Valdemara iela 50, Ainaži, Salacgrivas nov., LV-4035",57.862,24.35744,413402,521209
Makslinieciskie kolektivi,"Ainažu pilsetas kulturas nama vokali instrumentalais ansamblis ""Saules akmentini""",LV-KOLEKTIVS-014016,"Valdemara iela 50, Ainaži, Salacgrivas nov., LV-4035",57.862,24.35744,413402,521209
Kulturas centri,Ainažu pilsetas kulturas nams,LV-NAMS-011472,"Valdemara iela 50, Ainaži, Salacgrivas nov., LV-4035",57.862,24.35744,413402,521209
Muzeji,Ainažu Ugunsdzesibas muzejs,LV-MUZ-001381,"Valdemara iela 69, Ainaži, Salacgrivas nov., LV-4035",57.86223,24.35864,413428,521280
Bibliotekas,Aiviekstes pagasta biblioteka,LV-BIB-000100,"1. maija iela 6, Kriskalni, Aiviekstes pag., Plavinu nov., LV-5120",56.62157,25.72094,276588,605596
Makslinieciskie kolektivi,"Aiviekstes pagasta senioru vokalais ansamblis ""abelziedi""",LV-KOLEKTIVS-016512,"Kriskalnu iela 1, Kriskalni, Aiviekstes pag., Plavinu nov., LV-5120",56.62275,25.72326,276722,605735
Kulturvesturiskas vietas,Aizkalnes Romas katolu baznica,LV-VIE-001258,"Raina iela 17, Aizkalne, Aizkalnes pag., Preilu nov., LV-5305",56.199,26.77857,231704,672376
Makslinieciskie kolektivi,Aizkalnes sieviesu vokalais ansamblis,LV-KOLEKTIVS-011230,"Raina iela 7, Aizkalne, Aizkalnes pag., Preilu nov., LV-5305",56.20096,26.78182,231930,672569
Kulturas centri,Aizkalnes tautas nams,LV-NAMS-001797,"Raina iela 7, Aizkalne, Aizkalnes pag., Preilu nov., LV-5305",56.20096,26.78182,231930,672569
Makslinieciskie kolektivi,"Aizkalnes vokalais ansamblis ""Visiem dzives gadijumiem""",LV-KOLEKTIVS-016550,"Raina iela 7, Aizkalne, Aizkalnes pag., Preilu nov., LV-5305",56.20096,26.78182,231930,672569
Nevalstiskas organizacijas,Aizkraukles amatnieku biedriba,LV-NVO-012926,"Jaunceltnes iela 21, Aizkraukle, Aizkraukles nov., LV-5101",56.60729,25.25731,274381,577179
Makslinieciskie kolektivi,"Aizkraukles eksotisko deju grupa ""Armagan""",LV-KOLEKTIVS-012488,"Spidolas iela 2, Aizkraukle, Aizkraukles nov., LV-5101",56.59674,25.2458,273194,576494
Makslinieciskie kolektivi,"Aizkraukles jauniesu deju kolektivs ""Zelli""",LV-KOLEKTIVS-012486,"Spidolas iela 2, Aizkraukle, Aizkraukles nov., LV-5101",56.59674,25.2458,273194,576494
Nevalstiskas organizacijas,Aizkraukles krievu kopiena LAD,LV-NVO-012553,"Daugavas iela 1, Aizkraukle, Aizkraukles nov., LV-5101",56.59982,25.25414,273546,577000
Makslinieciskie kolektivi,"Aizkraukles kulturas centra viru koris ""Staburags""",LV-KOLEKTIVS-011583,"Spidolas iela 2, Aizkraukle, Aizkraukles nov., LV-5101",56.59674,25.2458,273194,576494
Nevalstiskas organizacijas,Aizkraukles Latviesu biedriba,LV-NVO-012889,"Kalna Ziedi, Aizkraukle, Aizkraukles nov., LV-5101",56.59886,25.27157,273459,578072
Kulturvesturiskas vietas,Aizkraukles luteranu baznica,LV-VIE-000398,"Aizkraukles baznica, Aizkraukles pag., Aizkraukles nov., LV-5101",56.61841,25.14559,275498,570301
Kulturizglitibas iestades,Aizkraukles makslas skola,LV-IZGLITIBA-009584,"Spidolas iela 1, Aizkraukle, Aizkraukles nov., LV-5101",56.59806,25.24656,273342,576538
Nevalstiskas organizacijas,"Aizkraukles novada ""Prata spelu klubs""",LV-NVO-012925,"Spidolas iela 8-6, Aizkraukle, Aizkraukles nov., LV-5101",56.59778,25.2486,273313,576664
Nevalstiskas organizacijas,"Aizkraukles novada biedriba ""Daugavas Savieniba""",LV-NVO-009420,"Lacplesa iela 1, Aizkraukle, Aizkraukles nov., LV-5101",56.6014,25.25348,273721,576956
Nevalstiskas organizacijas,"Aizkraukles novada biedriba ""Daugavas Senielejas Raganas""",LV-NVO-013149,"Dzilnas, Aizkraukles pag., Aizkraukles nov., LV-5101",56.64728,25.20366,278773,573808
Makslinieciskie kolektivi,"Aizkraukles novada folkloras kapela ""Karikste""",LV-KOLEKTIVS-016915,"Spidolas iela 2, Aizkraukle, Aizkraukles nov., LV-5101",56.59674,25.2458,273194,576494
Makslinieciskie kolektivi,"Aizkraukles novada kulturas nama bernu deju kolektivs ""Aizkraukleni""",LV-KOLEKTIVS-012592,"Spidolas iela 2, Aizkraukle, Aizkraukles nov., LV-5101",56.59675,25.24606,273195,576510
Nevalstiskas organizacijas,Aizkraukles novada pensionaru biedriba,LV-NVO-012924,"Daugavas iela 1, Aizkraukle, Aizkraukles nov., LV-5101",56.59982,25.25414,273546,577000
Bibliotekas,Aizkraukles novada vidusskolas biblioteka,LV-BIB-012444,"Lacplesa iela 21, Aizkraukle, Aizkraukles nov., LV-5101",56.6004,25.26115,273618,577429
Makslinieciskie kolektivi,Aizkraukles novada viru vokalais ansamblis,LV-KOLEKTIVS-012489,"Kalna iela 20, Aizkraukle, Aizkraukles pag., Aizkraukles nov., LV-5101",56.6151,25.22472,275214,575163
Bibliotekas,Aizkraukles pagasta biblioteka,LV-BIB-000094,"Kalna iela 20, Aizkraukle, Aizkraukles pag., Aizkraukles nov., LV-5101",56.61495,25.22474,275197,575165
Makslinieciskie kolektivi,"Aizkraukles pagasta deju kolektivs ""Peda"" (B grupa)",LV-KOLEKTIVS-011563,"Kalna iela 20, Aizkraukle, Aizkraukles pag., Aizkraukles nov., LV-5101",56.6151,25.22472,275214,575163
Makslinieciskie kolektivi,"Aizkraukles pagasta deju kolektivs ""Peda"" (D grupa)",LV-KOLEKTIVS-014650,"Kalna iela 20, Aizkraukle, Aizkraukles pag., Aizkraukles nov., LV-5101",56.6151,25.22472,275214,575163
Kulturas centri,Aizkraukles pagasta kulturas nams,LV-NAMS-001322,"Kalna iela 20, Aizkraukle, Aizkraukles pag., Aizkraukles nov., LV-5101",56.6151,25.22472,275214,575163
Bibliotekas,Aizkraukles pagasta sakumskolas biblioteka,LV-BIB-012453,"Kalna iela 6, Aizkraukle, Aizkraukles pag., Aizkraukles nov., LV-5101",56.61614,25.21936,275324,574832
Makslinieciskie kolektivi,"Aizkraukles pagasta sieviesu vokalais ansamblis ""Spidala""",LV-KOLEKTIVS-011592,"Kalna iela 20, Aizkraukle, Aizkraukles pag., Aizkraukles nov., LV-5101",56.6151,25.22472,275214,575163
Bibliotekas,Aizkraukles pilsetas biblioteka,LV-BIB-000093,"Lacplesa iela 3, Aizkraukle, Aizkraukles nov., LV-5101",56.60104,25.25588,273684,577104
Makslinieciskie kolektivi,"Aizkraukles pilsetas kulturas nama bernu un jauniesu popgrupa ""Tikai ta""",LV-KOLEKTIVS-012593,"Spidolas iela 2, Aizkraukle, Aizkraukles nov., LV-5101",56.59674,25.2458,273194,576494
Kulturas centri,Aizkraukles pilsetas kulturas nams,LV-NAMS-001321,"Spidolas iela 2, Aizkraukle, Aizkraukles nov., LV-5101",56.59674,25.2458,273194,576494
Kulturvesturiskas vietas,Aizkraukles pilskalns,LV-VIE-000397,"Aizkraukles baznica, Aizkraukles pag., Aizkraukles nov., LV-5101",56.61841,25.14559,275498,570301
Makslinieciskie kolektivi,"Aizkraukles popgrupa ""Meduslasites""",LV-KOLEKTIVS-012483,"Spidolas iela 2, Aizkraukle, Aizkraukles nov., LV-5101",56.59674,25.2458,273194,576494
Bibliotekas,Aizkraukles Profesionalas vidusskolas biblioteka,LV-BIB-013489,"Jaunceltnes iela 21, Aizkraukle, Aizkraukles nov., LV-5101",56.60739,25.25801,274393,577222
Makslinieciskie kolektivi,"Aizkraukles senioru deju kolektivs ""Jautras vecmaminas""",LV-KOLEKTIVS-012487,"Spidolas iela 2, Aizkraukle, Aizkraukles nov., LV-5101",56.59674,25.2458,273194,576494
Makslinieciskie kolektivi,"Aizkraukles senioru vokalais ansamblis ""Malinovij zvon""",LV-KOLEKTIVS-011586,"Spidolas iela 2, Aizkraukle, Aizkraukles nov., LV-5101",56.59675,25.24606,273195,576510
Makslinieciskie kolektivi,Aizkraukles Tautas teatris,LV-KOLEKTIVS-011594,"Spidolas iela 2, Aizkraukle, Aizkraukles nov., LV-5101",56.59675,25.24606,273195,576510
Bibliotekas,Aizkraukles Vakara (mainu ) vidusskola,LV-BIB-012445,"Gaismas iela 4A, Aizkraukle, Aizkraukles nov., LV-5101",56.59913,25.24689,273461,576556
Muzeji,Aizkraukles vestures un makslas muzejs,LV-MUZ-001338,"Kalna Ziedi, Aizkraukle, Aizkraukles nov., LV-5101",56.59886,25.27157,273459,578072
Nevalstiskas organizacijas,"Aizkraukles vestures un makslas muzejs ""Kalna Ziedi""",LV-NVO-013158,"Muzeja iela, Aizkraukle, Aizkraukles nov.",56.60021,25.26481,273601,577654
Makslinieciskie kolektivi,"Aizkraukles videjas paaudzes deju kolektivs ""Radi""",LV-KOLEKTIVS-011565,"Spidolas iela 2, Aizkraukle, Aizkraukles nov., LV-5101",56.59674,25.2458,273194,576494
Kulturvesturiskas vietas,Aizpurisu krucifikss,LV-VIE-000910,"Purmali, Aizpurisi, Varkavas pag., Varkavas nov., LV-5337",56.25577,26.63059,237660,662957
Nevalstiskas organizacijas,Aizputes Diabeta un invalidu biedriba,LV-NVO-013026,"Lažas iela 7A-40, Aizpute, Aizputes nov., LV-3456",56.7197,21.61278,288731,353910
Nevalstiskas organizacijas,Aizputes invalidu biedriba CERiBA,LV-NVO-013027,"Pasta iela 2, Aizpute, Aizputes nov., LV-3456",56.72109,21.60274,288907,353301
Kulturvesturiskas vietas,Aizputes koka apbuve,LV-VIE-000445,"Pasta iela 3, Aizpute, Aizputes nov., LV-3456",56.72141,21.60318,288942,353329
Makslinieciskie kolektivi,Aizputes kulturas nama bernu ritma deju grupa,LV-KOLEKTIVS-014338,"Atmodas iela 16, Aizpute, Aizputes nov., LV-3456",56.71928,21.60294,288705,353306
Makslinieciskie kolektivi,"Aizputes kulturas nama lietisķas makslas kolektivs ""Kamolitis""",LV-KOLEKTIVS-014336,"Atmodas iela 16, Aizpute, Aizputes nov., LV-3456",56.71928,21.60294,288705,353306
